AUDIO,STEEL,Y,Y2,DISTANCE,ANGLE,SHAPE,AREA,POWER,THICK
fold_2/Bright_Black_10.wav,Bright_Black,1,9,11,0,square,2500,29.8,0.9
fold_2/Bright_Black_100.wav,Bright_Black,1,7,11,180,tube,1570,13.8,30
fold_2/Bright_Black_101.wav,Bright_Black,1,7,11,180,tube,1570,15.8,30
fold_2/Bright_Black_102.wav,Bright_Black,1,7,11,180,tube,1570,17.8,30
fold_2/Bright_Black_103.wav,Bright_Black,1,7,11,180,tube,1570,19.8,30
fold_2/Bright_Black_104.wav,Bright_Black,1,7,11,180,tube,1570,21.8,30
fold_2/Bright_Black_105.wav,Bright_Black,1,7,11,180,tube,1570,23.8,30
fold_2/Bright_Black_106.wav,Bright_Black,1,7,11,180,tube,1570,25.8,30
fold_2/Bright_Black_107.wav,Bright_Black,1,7,11,180,tube,1570,27.8,30
fold_2/Bright_Black_108.wav,Bright_Black,1,7,11,180,tube,1570,29.8,30
fold_2/Bright_Black_111.wav,Bright_Black,1,5,11,0,tube,1570,13.8,30
fold_2/Bright_Black_112.wav,Bright_Black,1,5,11,0,tube,1570,15.8,30
fold_2/Bright_Black_113.wav,Bright_Black,1,5,11,0,tube,1570,17.8,30
fold_2/Bright_Black_114.wav,Bright_Black,1,5,11,0,tube,1570,19.8,30
fold_2/Bright_Black_115.wav,Bright_Black,1,5,11,0,tube,1570,21.8,30
fold_2/Bright_Black_116.wav,Bright_Black,1,5,11,0,tube,1570,23.8,30
fold_2/Bright_Black_117.wav,Bright_Black,1,5,11,0,tube,1570,25.8,30
fold_2/Bright_Black_118.wav,Bright_Black,1,5,11,0,tube,1570,27.8,30
fold_2/Bright_Black_119.wav,Bright_Black,1,5,11,0,tube,1570,29.8,30
fold_2/Bright_Black_122.wav,Bright_Black,1,5,11,45,tube,1570,13.8,30
fold_2/Bright_Black_123.wav,Bright_Black,1,5,11,45,tube,1570,15.8,30
fold_2/Bright_Black_124.wav,Bright_Black,1,5,11,45,tube,1570,17.8,30
fold_2/Bright_Black_125.wav,Bright_Black,1,5,11,45,tube,1570,19.8,30
fold_2/Bright_Black_126.wav,Bright_Black,1,5,11,45,tube,1570,21.8,30
fold_2/Bright_Black_127.wav,Bright_Black,1,5,11,45,tube,1570,23.8,30
fold_2/Bright_Black_128.wav,Bright_Black,1,5,11,45,tube,1570,25.8,30
fold_2/Bright_Black_129.wav,Bright_Black,1,5,11,45,tube,1570,27.8,30
fold_2/Bright_Black_13.wav,Bright_Black,1,9,11,45,square,2500,13.8,0.9
fold_2/Bright_Black_130.wav,Bright_Black,1,5,11,45,tube,1570,29.8,30
fold_2/Bright_Black_133.wav,Bright_Black,1,5,11,90,tube,1570,13.8,30
fold_2/Bright_Black_134.wav,Bright_Black,1,5,11,90,tube,1570,15.8,30
fold_2/Bright_Black_135.wav,Bright_Black,1,5,11,90,tube,1570,17.8,30
fold_2/Bright_Black_136.wav,Bright_Black,1,5,11,90,tube,1570,19.8,30
fold_2/Bright_Black_137.wav,Bright_Black,1,5,11,90,tube,1570,21.8,30
fold_2/Bright_Black_138.wav,Bright_Black,1,5,11,90,tube,1570,23.8,30
fold_2/Bright_Black_139.wav,Bright_Black,1,5,11,90,tube,1570,25.8,30
fold_2/Bright_Black_14.wav,Bright_Black,1,9,11,45,square,2500,15.8,0.9
fold_2/Bright_Black_140.wav,Bright_Black,1,5,11,90,tube,1570,27.8,30
fold_2/Bright_Black_141.wav,Bright_Black,1,5,11,90,tube,1570,29.8,30
fold_2/Bright_Black_144.wav,Bright_Black,1,5,11,135,tube,1570,13.8,30
fold_2/Bright_Black_145.wav,Bright_Black,1,5,11,135,tube,1570,15.8,30
fold_2/Bright_Black_146.wav,Bright_Black,1,5,11,135,tube,1570,17.8,30
fold_2/Bright_Black_147.wav,Bright_Black,1,5,11,135,tube,1570,19.8,30
fold_2/Bright_Black_148.wav,Bright_Black,1,5,11,135,tube,1570,21.8,30
fold_2/Bright_Black_149.wav,Bright_Black,1,5,11,135,tube,1570,23.8,30
fold_2/Bright_Black_15.wav,Bright_Black,1,9,11,45,square,2500,17.8,0.9
fold_2/Bright_Black_150.wav,Bright_Black,1,5,11,135,tube,1570,25.8,30
fold_2/Bright_Black_151.wav,Bright_Black,1,5,11,135,tube,1570,27.8,30
fold_2/Bright_Black_152.wav,Bright_Black,1,5,11,135,tube,1570,29.8,30
fold_2/Bright_Black_155.wav,Bright_Black,1,5,11,180,tube,1570,13.8,30
fold_2/Bright_Black_156.wav,Bright_Black,1,5,11,180,tube,1570,15.8,30
fold_2/Bright_Black_157.wav,Bright_Black,1,5,11,180,tube,1570,17.8,30
fold_2/Bright_Black_158.wav,Bright_Black,1,5,11,180,tube,1570,19.8,30
fold_2/Bright_Black_159.wav,Bright_Black,1,5,11,180,tube,1570,21.8,30
fold_2/Bright_Black_16.wav,Bright_Black,1,9,11,45,square,2500,19.8,0.9
fold_2/Bright_Black_160.wav,Bright_Black,1,5,11,180,tube,1570,23.8,30
fold_2/Bright_Black_161.wav,Bright_Black,1,5,11,180,tube,1570,25.8,30
fold_2/Bright_Black_162.wav,Bright_Black,1,5,11,180,tube,1570,27.8,30
fold_2/Bright_Black_163.wav,Bright_Black,1,5,11,180,tube,1570,29.8,30
fold_2/Bright_Black_166.wav,Bright_Black,1,6,11,0,tube,1570,13.8,30
fold_2/Bright_Black_168.wav,Bright_Black,1,6,11,0,tube,1570,17.8,30
fold_2/Bright_Black_169.wav,Bright_Black,1,6,11,0,tube,1570,19.8,30
fold_2/Bright_Black_17.wav,Bright_Black,1,9,11,45,square,2500,21.8,0.9
fold_2/Bright_Black_170.wav,Bright_Black,1,6,11,0,tube,1570,21.8,30
fold_2/Bright_Black_171.wav,Bright_Black,1,6,11,0,tube,1570,23.8,30
fold_2/Bright_Black_172.wav,Bright_Black,1,6,11,0,tube,1570,25.8,30
fold_2/Bright_Black_173.wav,Bright_Black,1,6,11,0,tube,1570,27.8,30
fold_2/Bright_Black_174.wav,Bright_Black,1,6,11,0,tube,1570,29.8,30
fold_2/Bright_Black_177.wav,Bright_Black,1,6,11,45,tube,1570,13.8,30
fold_2/Bright_Black_179.wav,Bright_Black,1,6,11,45,tube,1570,17.8,30
fold_2/Bright_Black_18.wav,Bright_Black,1,9,11,45,square,2500,23.8,0.9
fold_2/Bright_Black_180.wav,Bright_Black,1,6,11,45,tube,1570,19.8,30
fold_2/Bright_Black_181.wav,Bright_Black,1,6,11,45,tube,1570,21.8,30
fold_2/Bright_Black_182.wav,Bright_Black,1,6,11,45,tube,1570,23.8,30
fold_2/Bright_Black_183.wav,Bright_Black,1,6,11,45,tube,1570,25.8,30
fold_2/Bright_Black_184.wav,Bright_Black,1,6,11,45,tube,1570,27.8,30
fold_2/Bright_Black_185.wav,Bright_Black,1,6,11,45,tube,1570,29.8,30
fold_2/Bright_Black_188.wav,Bright_Black,1,6,11,90,tube,1570,13.8,30
fold_2/Bright_Black_19.wav,Bright_Black,1,9,11,45,square,2500,25.8,0.9
fold_2/Bright_Black_190.wav,Bright_Black,1,6,11,90,tube,1570,17.8,30
fold_2/Bright_Black_191.wav,Bright_Black,1,6,11,90,tube,1570,19.8,30
fold_2/Bright_Black_192.wav,Bright_Black,1,6,11,90,tube,1570,21.8,30
fold_2/Bright_Black_193.wav,Bright_Black,1,6,11,90,tube,1570,23.8,30
fold_2/Bright_Black_194.wav,Bright_Black,1,6,11,90,tube,1570,25.8,30
fold_2/Bright_Black_195.wav,Bright_Black,1,6,11,90,tube,1570,27.8,30
fold_2/Bright_Black_196.wav,Bright_Black,1,6,11,90,tube,1570,29.8,30
fold_2/Bright_Black_199.wav,Bright_Black,1,6,11,135,tube,1570,13.8,30
fold_2/Bright_Black_20.wav,Bright_Black,1,9,11,45,square,2500,27.8,0.9
fold_2/Bright_Black_201.wav,Bright_Black,1,6,11,135,tube,1570,17.8,30
fold_2/Bright_Black_202.wav,Bright_Black,1,6,11,135,tube,1570,19.8,30
fold_2/Bright_Black_203.wav,Bright_Black,1,6,11,135,tube,1570,21.8,30
fold_2/Bright_Black_204.wav,Bright_Black,1,6,11,135,tube,1570,23.8,30
fold_2/Bright_Black_205.wav,Bright_Black,1,6,11,135,tube,1570,25.8,30
fold_2/Bright_Black_206.wav,Bright_Black,1,6,11,135,tube,1570,27.8,30
fold_2/Bright_Black_207.wav,Bright_Black,1,6,11,135,tube,1570,29.8,30
fold_2/Bright_Black_21.wav,Bright_Black,1,9,11,45,square,2500,29.8,0.9
fold_2/Bright_Black_210.wav,Bright_Black,1,6,11,180,tube,1570,13.8,30
fold_2/Bright_Black_212.wav,Bright_Black,1,6,11,180,tube,1570,17.8,30
fold_2/Bright_Black_213.wav,Bright_Black,1,6,11,180,tube,1570,19.8,30
fold_2/Bright_Black_214.wav,Bright_Black,1,6,11,180,tube,1570,21.8,30
fold_2/Bright_Black_215.wav,Bright_Black,1,6,11,180,tube,1570,23.8,30
fold_2/Bright_Black_216.wav,Bright_Black,1,6,11,180,tube,1570,25.8,30
fold_2/Bright_Black_217.wav,Bright_Black,1,6,11,180,tube,1570,27.8,30
fold_2/Bright_Black_218.wav,Bright_Black,1,6,11,180,tube,1570,29.8,30
fold_2/Bright_Black_220.wav,Bright_Black,1,7,11,180,square,2500,27.8,8
fold_2/Bright_Black_221.wav,Bright_Black,1,7,11,180,square,2500,29.8,8
fold_2/Bright_Black_223.wav,Bright_Black,1,5,11,0,tube,78,13.8,9.9
fold_2/Bright_Black_224.wav,Bright_Black,1,5,11,0,tube,78,15.8,9.9
fold_2/Bright_Black_225.wav,Bright_Black,1,5,11,0,tube,78,17.8,9.9
fold_2/Bright_Black_226.wav,Bright_Black,1,5,11,0,tube,78,19.8,9.9
fold_2/Bright_Black_227.wav,Bright_Black,1,5,11,0,tube,78,21.8,9.9
